-2.479417,6.3569461,0.5541952,0.3681286,2.4482759,-2.403136,5.8925864,0.462177,0.26963,2.448276,-2.36292,5.655946,0.391293,0.202006,2.448276,-2.33834,5.515496,0.331868,0.151252,2.448276
-2.5712,6.8261778,0.5944262,0.4123552,2.4137931,-2.491236,6.3307154,0.507162,0.31441,2.413793,-2.44847,6.073982,0.438845,0.245051,2.413793,-2.42192,5.918681,0.381981,0.19245,2.413793
-2.664079,7.3105868,0.6342653,0.4570765,2.3793103,-2.594677,6.8620957,0.563721,0.37235,2.37931,-2.54711,6.573492,0.499036,0.302429,2.37931,-2.52417,6.430882,0.450532,0.253654,2.37931
-2.757948,7.817484,0.6721716,0.5022901,2.3448276,-2.693761,7.3877165,0.613408,0.42718,2.344828,-2.66013,7.164687,0.569046,0.373431,2.344828,-2.62497,6.954509,0.514237,0.315653,2.344828
-2.852725,8.3391986,0.7113654,0.5496228,2.3103448,-2.803729,7.9881172,0.668154,0.48994,2.310345,-2.76967,7.759294,0.630956,0.441804,2.310345,-2.74659,7.608674,0.597539,0.40139,2.310345
-2.938226,8.823653,0.7428169,0.5899484,2.2758621,-2.904667,8.5569917,0.713676,0.54583,2.275862,-2.88444,8.403001,0.692334,0.513866,2.275862,-2.8719,8.30829,0.677286,0.490995,2.275862
-3.032959,9.3749603,0.7778742,0.6359593,2.2413793,-3.004559,9.1362012,0.757101,0.60128,2.241379,-2.98988,9.014604,0.743526,0.578386,2.241379,-2.98094,8.940529,0.7345,0.562564,2.241379
-3.113568,9.8529142,0.8065097,0.6746546,2.2068966,-3.097315,9.6902611,0.794825,0.65198,2.206897,-3.08746,9.597817,0.787042,0.636623,2.206897,-3.08248,9.548051,0.783341,0.627432,2.206897
-3.192496,10.334121,0.8315863,0.7107231,2.1724138,-3.180312,10.19938,0.824677,0.69433,2.172414,-3.17432,10.13342,0.820112,0.684192,2.172414,-3.17048,10.09244,0.817388,0.677578,2.172414
-3.263339,10.777619,0.8519351,0.7412073,2.137931,-3.257533,10.685377,0.84997,0.7324,2.137931,-3.25226,10.62671,0.846386,0.724584,2.137931,-3.25154,10.60679,0.846465,0.722072,2.137931
-3.331216,11.21012,0.871748,0.7714348,2.1034483,-3.323677,11.112644,0.868811,0.76242,2.103448,-3.32174,11.07652,0.868169,0.758674,2.103448,-3.31984,11.05107,0.867424,0.756061,2.103448
-3.394672,11.622675,0.8887627,0.7982647,2.0689655,-3.387351,11.531872,0.886068,0.79061,2.068966,-3.38499,11.49561,0.885377,0.787546,2.068966,-3.38452,11.48072,0.885568,0.786582,2.068966
-3.449429,11.98638,0.901948,0.8200446,2.0344828,-3.444878,11.917357,0.900882,0.81533,2.034483,-3.44203,11.88013,0.899891,0.812322,2.034483,-3.44086,11.86221,0.899592,0.81109,2.034483
-3.498316,12.317106,0.912995,0.8387649,2,-3.494757,12.257915,0.912344,0.83527,2,-3.49421,12.23812,0.912146,0.833876,2,-3.49344,12.22415,0.911904,0.832885,2
-3.498959,12.319945,0.9135029,0.8393702,2,-3.493748,12.251748,0.911618,0.83422,2,-3.49379,12.23519,0.912064,0.833748,2,-3.49331,12.22311,0.912004,0.833036,2
-3.635694,13.271277,0.9416376,0.8890663,1.8888889,-3.632852,13.227931,0.941014,0.88687,1.888889,-3.63306,13.21848,0.941086,0.88651,1.888889,-3.63204,13.20523,0.940908,0.885905,1.888889
-3.740376,14.02601,0.9607711,0.9243024,1.7777778,-3.73906,14.000943,0.960495,0.92324,1.777778,-3.73864,13.99045,0.960386,0.922788,1.777778,-3.73815,13.98281,0.960317,0.922518,1.777778
-3.819263,14.610779,0.9738282,0.9490115,1.6666667,-3.818478,14.594309,0.973665,0.94841,1.666667,-3.8187,14.59114,0.97373,0.948392,1.666667,-3.81858,14.58756,0.973678,0.94822,1.666667
-3.879317,15.064575,0.9830849,0.9668337,1.5555556,-3.878868,15.054308,0.983039,0.96658,1.555556,-3.87828,15.04667,0.982937,0.966302,1.555556,-3.8787,15.0482,0.983003,0.966389,1.555556
-3.922109,15.392594,0.9893939,0.9791091,1.4444444,-3.922467,15.391176,0.989444,0.97912,1.444444,-3.92231,15.38798,0.989409,0.979006,1.444444,-3.92243,15.38787,0.989428,0.97902,1.444444
-3.953567,15.636257,0.9938227,0.9877929,1.3333333,-3.953406,15.63259,0.993793,0.98769,1.333333,-3.95342,15.63155,0.993794,0.987667,1.333333,-3.95342,15.6309,0.993795,0.987657,1.333333
-3.974067,15.796244,0.99661,0.9932875,1.2222222,-3.974068,15.794935,0.996607,0.99326,1.222222,-3.97408,15.7944,0.99661,0.993253,1.222222,-3.97407,15.794,0.996609,0.993243,1.222222
-3.987049,15.898062,0.9983311,0.9966912,1.1111111,-3.986985,15.896906,0.998322,0.99666,1.111111,-3.98701,15.8968,0.998326,0.996665,1.111111,-3.98703,15.89681,0.998328,0.996665,1.111111
-3.994207,15.954353,0.9992603,0.9985323,1,-3.994388,15.955496,0.999285,0.99858,1,-3.99427,15.95445,0.999269,0.998543,1,-3.99431,15.95464,0.999273,0.99855,1
